year,gauge,p_mm,q_mm,bc_q,q_na_count
2010,304497,1856.173848,989.508162,31.839750605221013,0
2011,304497,1923.469299,1111.372537,33.35115667195506,0
2012,304497,1761.392781,1056.600488,32.68549477018579,0
2013,304497,2150.886234,1363.5029240000001,36.17471416144135,0
2014,304497,1622.450769,878.63204699999994,30.35894675873606,0
2015,304497,1506.628789,879.774322,30.374786164008178,0
2016,304497,2505.545885,1607.692379,38.61014982930479,0
2017,304497,1563.727066,956.856654,31.41504093580978,0
2018,304497,1936.914876,1218.475449,34.595355074346095,0
2019,304497,1736.175393,1236.483739,34.79769673186369,0
2020,304497,1687.25195,963.579897,31.503230871364792,0
2021,304497,1963.794459,1357.696711,36.11357660486578,0
2022,304497,1704.403405,NA,NA,31
1950,304499,1004.770644,NA,NA,365
1951,304499,1425.633698,NA,NA,365
1952,304499,1732.296568,NA,NA,366
1953,304499,1590.744844,NA,NA,365
1954,304499,1221.588305,NA,NA,365
1955,304499,1362.514867,NA,NA,365
1956,304499,1649.379627,NA,NA,366
1957,304499,1244.896495,NA,NA,365
1958,304499,1858.744197,NA,NA,365
1959,304499,1198.019584,NA,NA,365
1960,304499,1217.771711,NA,NA,366
1961,304499,1083.022688,NA,NA,365
1962,304499,1612.969269,NA,NA,365
1963,304499,911.337783,NA,NA,365
1964,304499,1659.139286,NA,NA,366
1965,304499,1396.666871,NA,NA,77
1966,304499,1357.374226,640.247316,231.83185562528598,0
1967,304499,1195.165007,625.093512,227.35501325523387,0
1968,304499,1887.483023,1329.271784,419.9731915604656,0
1969,304499,1516.551305,899.160612,305.62157724022535,0
1970,304499,1682.190638,1059.093,349.1419479925085,0
1971,304499,1535.051434,919.071113,311.114643796996,0
1972,304499,1269.572083,708.8539480000001,251.85824850506614,0
1973,304499,1557.483561,915.201004,310.04870115068053,0
1974,304499,1455.790791,781.377156,272.63392169859685,0
1975,304499,1913.760067,1242.691658,397.6000255749143,0
1976,304499,1299.032636,660.621556,237.81960799205345,0
1977,304499,1352.504201,746.149365,262.589904793059,0
1978,304499,1323.870532,680.122931,243.51826588246433,0
1979,304499,1332.178638,721.307235,255.45323635795927,0
1980,304499,1560.257796,1016.159075,337.5888953294996,0
1981,304499,1542.513637,932.326823,314.7592651556594,0
1982,304499,1136.399117,656.661245,236.65847960010257,0
1983,304499,1202.802617,684.12804,244.68479044436663,0
1984,304499,1414.992401,838.857553,288.84169564906523,0
1985,304499,1163.892956,586.70681,215.92128373455967,0
1986,304499,1452.049468,899.651309,305.7572287256398,0
1987,304499,1342.339693,797.130655,277.0976808004385,0
1988,304499,1449.474012,911.530703,309.0370050695914,0
1989,304499,1031.807452,437.518061,170.01711843469974,0
1990,304499,1405.180969,703.113838,250.1972008826015,0
1991,304499,1400.578297,947.127258,318.8170672400079,0
1992,304499,1307.094415,748.746378,263.3333648458007,0
1993,304499,1299.541014,697.482592,248.5651670957818,0
1994,304499,1651.929253,1090.704908,357.5918059679789,0
1995,304499,1435.984598,839.252536,288.95232853498146,0
1996,304499,1802.072973,1103.036408,360.87542109434474,0
1997,304499,1267.219235,712.972139,253.04838816472954,0
1998,304499,1234.963352,571.997467,211.50295345411405,0
1999,304499,1186.212525,576.424709,212.83502070941822,0
2000,304499,1388.559856,650.125075,234.73923547013763,0
2001,304499,1452.907848,708.030693,251.62017500756136,0
2002,304499,1543.743504,909.211513,308.39733806039243,0
2003,304499,1487.860103,890.446512,303.2102580198325,0
2004,304499,1692.231458,1022.0853060000001,339.1889817827099,0
2005,304499,1552.362805,857.723766,294.1151487784786,0
